Designator,Mid X,Mid Y,Rotation,Layer
BT1,139.25,-135.25,90.0,top
C1,158.2,-149.0,0.0,top
C10,172.35,-143.05,180.0,top
C11,163.0,-129.5,180.0,top
C12,163.0,-131.25,180.0,top
C13,155.5,-129.5,0.0,top
C14,158.5,-105.0,270.0,top
C15,150.5,-100.75,90.0,top
C16,148.5,-100.75,90.0,top
C2,153.3,-149.0,180.0,top
C3,170.5,-129.0,0.0,top
C4,174.75,-129.25,0.0,top
C5,161.5,-127.75,180.0,top
C6,166.5,-129.0,180.0,top
C7,174.5,-131.5,0.0,top
C8,175.75,-134.5,270.0,top
C9,162.85,-140.4,90.0,top
D1,149.8,-118.0,0.0,top
D10,140.5,-87.5,0.0,top
D11,140.5,-90.0,0.0,top
D12,144.5,-70.0,0.0,top
D13,144.5,-72.5,0.0,top
D14,144.5,-75.0,0.0,top
D15,144.5,-77.5,0.0,top
D16,144.5,-80.0,0.0,top
D17,144.5,-82.5,0.0,top
D18,144.5,-85.0,0.0,top
D19,144.5,-87.5,0.0,top
D2,132.5,-118.0,0.0,top
D20,144.5,-90.0,0.0,top
D21,148.5,-70.0,0.0,top
D22,148.5,-72.5,0.0,top
D23,148.5,-75.0,0.0,top
D24,148.5,-77.5,0.0,top
D25,148.5,-80.0,0.0,top
D26,148.5,-82.5,0.0,top
D27,148.5,-85.0,0.0,top
D28,148.5,-87.5,0.0,top
D29,148.5,-90.0,0.0,top
D3,140.5,-70.0,0.0,top
D30,152.5,-70.0,0.0,top
D31,152.5,-72.5,0.0,top
D32,152.5,-75.0,0.0,top
D33,152.5,-77.5,0.0,top
D34,152.5,-80.0,0.0,top
D35,152.5,-82.5,0.0,top
D36,152.5,-85.0,0.0,top
D37,152.5,-87.5,0.0,top
D38,152.5,-90.0,0.0,top
D39,156.5,-70.0,0.0,top
D4,140.5,-72.5,0.0,top
D40,156.5,-72.5,0.0,top
D41,156.5,-75.0,0.0,top
D42,156.5,-77.5,0.0,top
D43,156.5,-80.0,0.0,top
D44,156.5,-82.5,0.0,top
D45,156.5,-85.0,0.0,top
D46,156.5,-87.5,0.0,top
D47,156.5,-90.0,0.0,top
D48,160.5,-70.0,0.0,top
D49,160.5,-72.5,0.0,top
D5,140.5,-75.0,0.0,top
D50,160.5,-75.0,0.0,top
D51,160.5,-77.5,0.0,top
D52,160.5,-80.0,0.0,top
D53,160.5,-82.5,0.0,top
D54,160.5,-85.0,0.0,top
D55,160.5,-87.5,0.0,top
D56,160.5,-90.0,0.0,top
D57,164.5,-70.0,0.0,top
D58,164.5,-72.5,0.0,top
D59,164.5,-75.0,0.0,top
D6,140.5,-77.5,0.0,top
D60,164.5,-77.5,0.0,top
D61,164.5,-80.0,0.0,top
D62,164.5,-82.5,0.0,top
D63,164.5,-85.0,0.0,top
D64,164.5,-87.5,0.0,top
D65,164.5,-90.0,0.0,top
D66,168.5,-70.0,0.0,top
D67,168.5,-72.5,0.0,top
D68,168.5,-75.0,0.0,top
D69,168.5,-77.5,0.0,top
D7,140.5,-80.0,0.0,top
D70,168.5,-80.0,0.0,top
D71,168.5,-82.5,0.0,top
D72,168.5,-85.0,0.0,top
D73,168.5,-87.5,0.0,top
D74,168.5,-90.0,0.0,top
D8,140.5,-82.5,0.0,top
D9,140.5,-85.0,0.0,top
FB1,155.5,-132.5,180.0,top
FID1,130.0,-70.0,0.0,top
FID2,179.0,-149.0,0.0,top
J1,180.0,-96.5,0.0,top
J2,170.6,-149.75,0.0,top
J3,129.0,-96.5,0.0,top
J4,180.0,-136.42,0.0,top
R1,149.8,-120.5,180.0,top
R2,159.5,-124.25,0.0,top
R3,155.5,-124.25,0.0,top
R4,142.5,-100.825,270.0,top
R5,144.5,-100.825,270.0,top
R6,132.5,-120.5,0.0,top
R7,175.3,-124.6,270.0,top
R8,171.6,-145.0,180.0,top
R9,150.5,-105.0,270.0,top
SW1,179.95,-124.5,90.0,top
U1,154.8,-143.3,90.0,top
U2,169.25,-136.8375,270.0,top
U3,154.5,-102.5,0.0,top
Y1,169.0,-126.25,0.0,top
